|                           Код|                                      Наименование|                                     Производитель|Количество|      Цена|НДС| Цена С НДС|Цена продажи| Количество проданых|       Прибыль|
|                          A00F|                                   Партийный билет|                                              КПСС|      1999|     1.000| 10|      1.100|       1.200|                1999|       199.900|
|                           316|                                   Маковая булочка|                                         Кондитерс|        39|    57.000| 20|     68.400|      78.000|                  24|       230.400|
|                             8|                                               Меч|                                           8Dreams|         5|  1239.000| 20|   1486.800|    1599.000|                   3|       336.600|
|                           763|                                             Лимон|                                        ДеревоКорп|        77|    59.000| 10|     64.900|      78.000|                  33|       432.300|
|                          9009|                           Курсовое проектирование|                                        КтотовCorp|         3|  3500.000| 10|   3850.000|    4399.000|                   1|       549.000|
|                          4444|                                             Томат|                                        ДеревоКорп|        39|    87.000| 15|    100.050|     123.000|                  27|       619.650|
|                            12|                                               Эль|                                       Школа Жизни|       197|   575.000| 20|    690.000|     699.000|                  73|       657.000|
|                          536a|                                            Корица|                                      IndianSpices|       145|    65.000| 20|     78.000|      88.000|                  98|       980.000|
|                             4|                                       Кроссовочки|                                            Adidas|        17|   760.000| 20|    912.000|     999.000|                  12|      1044.000|
|                           124|                                          Вафелька|                                           8Dreams|        99|    67.000| 20|     80.400|      99.000|                  68|      1264.800|
|                          6ab8|                                Костюм сколопендры|                                        Postmodern|         6|  1300.000| 20|   1560.000|    1879.000|                   4|      1276.000|
|                           134|                                           Арбалет|                                        Postmodern|        23|  1938.000| 20|   2325.600|    2599.000|                   5|      1367.000|
|                            67|                                            Трость|                                  Кузница "Валера"|         1|  2780.000| 20|   3336.000|    4799.000|                   1|      1463.000|
|                            39|                                         Gold club|                                          GoldGolf|        12|  6560.000| 15|   7544.000|    7999.000|                   4|      1820.000|
|                            19|                                             Арбуз|                                           8Dreams|       111|   197.000| 10|    216.700|     246.000|                  87|      2549.100|
|                           111|                                     Сборник песен|                                       Школа Жизни|      1599|    12.000| 10|     13.200|      17.000|                1000|      3800.000|
|                             1|                                             Ручка|                                               АБВ|       123|   187.000| 20|    224.400|     267.000|                  99|      4217.400|
|                          8c12|                                   Робот-дворецкий|                                           8Dreams|         4|  9800.000| 20|  11760.000|   15999.000|                   1|      4239.000|
|                           666|                                       Адская роза|                                        Postmodern|       666|    56.000|  6|     59.360|      66.000|                 666|      4422.240|
|                          b000|                                              Серп|                                              КПСС|       999|   112.000| 10|    123.200|     128.000|                 999|      4795.200|
|                             3|                                            Акация|                                        ДеревоКорп|        16|  3900.000| 10|   4290.000|    4799.000|                  10|      5090.000|
|                           7a9|                                              Соль|                                      IndianSpices|       199|    90.000| 10|     99.000|     139.000|                 137|      5480.000|
|                             0|                                   Магическое перо|                                           8Dreams|         1| 29900.000|  5|  31395.000|   37999.000|                   1|      6604.000|
|                           473|                                            Комикс|                                            Marvel|       786|    56.000| 20|     67.200|      79.000|                 564|      6655.200|
|                           777|                                        Карты Таро|                                           8Dreams|        17|  2390.000| 20|   2868.000|    3399.000|                  13|      6903.000|
|                            78|                                            Азбука|                                       Школа Жизни|       132|   290.000| 10|    319.000|     399.000|                  97|      7760.000|
|                           178|                                          Курточка|                                            Adidas|        19|  1890.000| 20|   2268.000|    2799.000|                  17|      9027.000|
|                          00aa|                                             Молот|                                              КПСС|       365|   230.000| 10|    253.000|     279.000|                 365|      9490.000|
